"Species_01","Species_02","Species_03","Species_04","Species_05","Species_06","Species_07","Species_08","Species_09","Species_10","Species_11","Species_12","Species_13","Species_14","Species_15","Species_16","Species_17","Species_18","Species_19","Species_20","Species_21","Species_22","Species_23","Species_24","Species_25","Species_26","Species_27","Species_28","Species_29","Species_30"
0,0,0,0,0,0,2,0,3,0,0,0,4,3,1,0,1,0,3,3,0,0,0,2,1,2,5,1,1,3
2,0,0,0,1,0,0,0,0,0,1,0,4,0,0,0,1,0,0,2,0,1,0,1,1,0,3,1,0,3
4,1,1,0,1,0,2,0,0,4,5,0,0,4,3,2,5,1,3,2,0,1,1,0,3,0,1,2,0,3
1,1,3,0,0,0,0,5,1,1,0,0,0,1,1,2,0,2,0,5,1,0,1,0,0,0,0,1,2,1
3,0,0,3,0,0,2,0,0,5,0,0,4,3,0,1,1,0,3,0,0,0,4,0,2,1,0,2,0,2
0,0,1,1,0,0,0,0,0,4,0,5,0,1,0,1,0,2,3,0,0,0,2,0,0,0,0,0,3,1
2,0,0,0,0,0,0,0,0,0,3,1,3,0,0,0,2,5,1,2,0,0,1,0,0,0,1,0,5,0
2,3,0,0,1,0,0,1,1,3,1,0,2,1,2,0,0,2,4,0,2,5,1,0,0,1,0,0,3,5
4,0,3,1,1,0,0,0,0,0,4,3,0,1,0,1,3,0,3,0,2,0,0,0,4,0,0,0,1,0
1,0,0,0,4,1,5,0,0,0,2,0,0,0,3,0,0,0,5,0,1,3,1,1,0,1,1,1,0,2
